tmstamp,value,tag_id,topic,date
2025-01-01 10:55:00,15224.163,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 11:00:00,13659.14,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 11:05:00,12735.837,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 11:10:00,9867.651,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 11:15:00,9726.902,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 11:20:00,466.11905,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 11:25:00,728.87805,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 11:30:00,0.0,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 11:35:00,0.0,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 11:40:00,0.0,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 11:45:00,0.0,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 11:50:00,0.0,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 11:55:00,0.0,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 12:05:00,7817.744,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 12:10:00,10950.744,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 12:15:00,8812.675,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 12:20:00,16481.441,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 12:25:00,11896.256,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 12:30:00,9932.954,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 12:35:00,11493.953,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 12:40:00,9624.86,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 12:45:00,12644.791,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 12:50:00,11473.3955,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 12:55:00,9497.349,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 13:00:00,11371.069,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 13:05:00,12076.659,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 13:10:00,12677.884,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 13:15:00,12010.651,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 13:20:00,10974.187,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 13:25:00,10383.14,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 13:30:00,11838.931,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 13:35:00,10641.14,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 13:40:00,9564.0,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 13:45:00,8364.744,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 13:50:00,7190.116,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 13:55:00,5880.4883,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 14:00:00,4794.93,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 14:05:00,3707.8809,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 14:10:00,3042.2559,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 14:15:00,2346.721,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 14:20:00,1835.4651,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 14:25:00,1435.1364,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 14:30:00,1098.093,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 14:35:00,810.72095,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 14:40:00,587.3488,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 14:45:00,402.16278,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 14:50:00,226.09302,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 14:55:00,89.69768,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 15:00:00,7.023256,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 15:05:00,0.0,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 15:10:00,0.0,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 15:15:00,0.0,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 15:20:00,0.0,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-01 15:25:00,0.0,12223,P0086H01/I002/Ptot,2025-01-01
2025-01-02 05:30:00,0.0,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 05:35:00,0.0,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 05:40:00,0.81395346,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 05:45:00,1.7906977,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 05:50:00,2.2045455,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 05:55:00,1.2790698,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 06:00:00,516.7907,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 06:05:00,846.3953,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 06:10:00,1122.5581,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 06:15:00,1484.0233,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 06:20:00,2021.6046,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 06:25:00,2687.5,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 06:30:00,3341.3572,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 06:35:00,4164.59,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 06:40:00,5022.558,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 06:45:00,5893.905,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 06:50:00,6783.6045,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 06:55:00,7750.6045,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 07:00:00,8778.441,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 07:05:00,7759.7905,12223,P0086H01/I002/Ptot,2025-01-02
