tag,latitude,longitude,tilt,azimuth,module_width,module_height,module_efficiency,total_panels,commissioning_date,degradation_rate
P0086H01/I002/Ptot,43.151251,27.451342,15,180,1134,2278,21.2,172,2020-01-01,0.5
P0063H01/E001/Ptot,35.012141,33.899119,30,180,990,1976,17.7,12756,2020-01-01,0.5
